full_date,date_key,day,month,quarter,year,month_name,day_name,is_weekend
2023-01-01,1,1,1,1,2023,January,Sunday,True
2023-01-02,2,2,1,1,2023,January,Monday,False
2023-01-03,3,3,1,1,2023,January,Tuesday,False
2023-01-04,4,4,1,1,2023,January,Wednesday,False
2023-01-06,5,6,1,1,2023,January,Friday,False
2023-01-07,6,7,1,1,2023,January,Saturday,True
2023-01-08,7,8,1,1,2023,January,Sunday,True
2023-01-09,8,9,1,1,2023,January,Monday,False
2023-01-10,9,10,1,1,2023,January,Tuesday,False
2023-01-11,10,11,1,1,2023,January,Wednesday,False
2023-01-12,11,12,1,1,2023,January,Thursday,False
2023-01-13,12,13,1,1,2023,January,Friday,False
2023-01-15,13,15,1,1,2023,January,Sunday,True
2023-01-16,14,16,1,1,2023,January,Monday,False
2023-01-18,15,18,1,1,2023,January,Wednesday,False
2023-01-20,16,20,1,1,2023,January,Friday,False
2023-01-21,17,21,1,1,2023,January,Saturday,True
2023-01-22,18,22,1,1,2023,January,Sunday,True
2023-01-25,19,25,1,1,2023,January,Wednesday,False
2023-01-26,20,26,1,1,2023,January,Thursday,False
2023-01-27,21,27,1,1,2023,January,Friday,False
2023-01-28,22,28,1,1,2023,January,Saturday,True
2023-01-29,23,29,1,1,2023,January,Sunday,True
2023-01-30,24,30,1,1,2023,January,Monday,False
2023-02-01,25,1,2,1,2023,February,Wednesday,False
2023-02-02,26,2,2,1,2023,February,Thursday,False
2023-02-03,27,3,2,1,2023,February,Friday,False
2023-02-06,28,6,2,1,2023,February,Monday,False
2023-02-07,29,7,2,1,2023,February,Tuesday,False
2023-02-09,30,9,2,1,2023,February,Thursday,False
2023-02-10,31,10,2,1,2023,February,Friday,False
2023-02-11,32,11,2,1,2023,February,Saturday,True
2023-02-12,33,12,2,1,2023,February,Sunday,True
2023-02-15,34,15,2,1,2023,February,Wednesday,False
2023-02-16,35,16,2,1,2023,February,Thursday,False
2023-02-17,36,17,2,1,2023,February,Friday,False
2023-02-18,37,18,2,1,2023,February,Saturday,True
2023-02-21,38,21,2,1,2023,February,Tuesday,False
2023-02-22,39,22,2,1,2023,February,Wednesday,False
2023-02-23,40,23,2,1,2023,February,Thursday,False
2023-02-24,41,24,2,1,2023,February,Friday,False
2023-02-25,42,25,2,1,2023,February,Saturday,True
2023-02-27,43,27,2,1,2023,February,Monday,False
2023-02-28,44,28,2,1,2023,February,Tuesday,False
2023-03-01,45,1,3,1,2023,March,Wednesday,False
2023-03-02,46,2,3,1,2023,March,Thursday,False
2023-03-03,47,3,3,1,2023,March,Friday,False
2023-03-04,48,4,3,1,2023,March,Saturday,True
2023-03-05,49,5,3,1,2023,March,Sunday,True
2023-03-07,50,7,3,1,2023,March,Tuesday,False
2023-03-08,51,8,3,1,2023,March,Wednesday,False
2023-03-09,52,9,3,1,2023,March,Thursday,False
2023-03-11,53,11,3,1,2023,March,Saturday,True
2023-03-12,54,12,3,1,2023,March,Sunday,True
2023-03-13,55,13,3,1,2023,March,Monday,False
2023-03-14,56,14,3,1,2023,March,Tuesday,False
2023-03-15,57,15,3,1,2023,March,Wednesday,False
2023-03-16,58,16,3,1,2023,March,Thursday,False
2023-03-17,59,17,3,1,2023,March,Friday,False
2023-03-18,60,18,3,1,2023,March,Saturday,True
2023-03-19,61,19,3,1,2023,March,Sunday,True
2023-03-21,62,21,3,1,2023,March,Tuesday,False
2023-03-22,63,22,3,1,2023,March,Wednesday,False
2023-03-24,64,24,3,1,2023,March,Friday,False
2023-03-25,65,25,3,1,2023,March,Saturday,True
2023-03-27,66,27,3,1,2023,March,Monday,False
2023-03-28,67,28,3,1,2023,March,Tuesday,False
2023-03-29,68,29,3,1,2023,March,Wednesday,False
2023-03-30,69,30,3,1,2023,March,Thursday,False
2023-04-01,70,1,4,2,2023,April,Saturday,True
2023-04-04,71,4,4,2,2023,April,Tuesday,False
2023-04-05,72,5,4,2,2023,April,Wednesday,False
